cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
02854-000;-23.458472399999998;-46.697457299999996;05661-000;-23.6085333;-46.729717799999996
04563-000;-23.6107794;-46.68577620000001;05410-000;-23.557603;-46.67698739999999
08265-000;-23.5723919;-46.452324700000005;02976-000;-23.4810355;-46.71504669999999
04195-000;-23.6569719;-46.61322879999999;03426-000;-23.552227399999996;-46.5370247
02235-000;-23.479388;-46.581889700000005;05036-000;-23.5163686;-46.6905783
03281-000;-23.581961800000002;-46.552287299999996;05801-000;-23.647564300000003;-46.7339479
02119-000;-23.517542300000002;-46.58912479999999;04153-000;-23.6262893;-46.62476029999999
04119-000;-23.592943899999998;-46.6351992;02233-000;-23.4772102;-46.5650979
02072-000;-23.4999826;-46.6110152;01451-000;-23.5842928;-46.68200299999999
04805-000;-23.7153858;-46.702532899999994;02860-000;-23.4545031;-46.6950561
03694-000;-23.539846100000002;-46.47656629999999;04719-000;-23.636992199999998;-46.6992961
04308-000;-23.635409;-46.6413472;01156-000;-23.528102899999997;-46.6662922
05726-000;-23.6195342;-46.73485609999999;01132-000;-23.523061300000002;-46.6489232
05379-000;-23.5667101;-46.75392249999999;02804-000;-23.4815593;-46.6997206
03423-000;-23.552563600000003;-46.5430346;02615-000;-23.472797500000002;-46.65288779999999
03905-000;-23.5789139;-46.5144605;03729-000;-23.5028575;-46.50613320000001
03236-000;-23.594012399999997;-46.5553873;04939-000;-23.6919315;-46.770825200000004
01543-000;-23.5752538;-46.623067299999995;05415-000;-23.5650402;-46.6809885
04142-000;-23.610857;-46.637623600000005;02335-000;-23.4816915;-46.617743299999994
04753-000;-23.651162;-46.7090565;05008-000;-23.5385451;-46.6690123
02330-000;-23.4815207;-46.62194849999999;04144-000;-23.6183866;-46.6354633
04142-000;-23.610857;-46.637623600000005;03444-000;-23.5439948;-46.5349211
08120-000;-23.5002972;-46.3936691;04313-000;-23.6395034;-46.6404461
01022-000;-23.5448448;-46.6334325;04207-000;-23.5903319;-46.602667700000005
02079-000;-23.499387699999996;-46.603491399999996;02925-000;-23.5008851;-46.69974939999999
03978-000;-23.616174800000003;-46.502007;08260-000;-23.5761294;-46.444494799999994
02939-000;-23.473405;-46.7321349;05009-000;-23.5366504;-46.6746642
03268-000;-23.5978343;-46.528580600000005;08340-000;-23.5986079;-46.4644024
02234-000;-23.479983100000002;-46.5698414;05595-000;-23.5810924;-46.7424666
04646-000;-23.6433516;-46.674806700000005;01408-000;-23.5661707;-46.6601168
01021-000;-23.5449428;-46.6323695;05625-000;-23.6003771;-46.73332629999999
02442-000;-23.4730293;-46.64191640000001;04671-000;-23.653649100000003;-46.684566100000005
04904-000;-23.6702544;-46.735504399999996;04651-000;-23.6580061;-46.67113759999999
05593-000;-23.5795587;-46.738398499999995;04685-000;-23.660375600000002;-46.695485
02357-000;-23.4421337;-46.6102146;05736-000;-23.6424848;-46.74137279999999
03905-000;-23.5789139;-46.5144605;03406-000;-23.5416178;-46.545933399999996
02521-000;-23.502504300000002;-46.663293200000005;02531-000;-23.500166399999998;-46.656986200000006
04661-000;-23.657746600000003;-46.6789846;05727-000;-23.6195342;-46.73485609999999
04270-000;-23.5909812;-46.6132789;04513-000;-23.5976017;-46.6727025
02259-000;-23.4708897;-46.5802801;02415-000;-23.4734933;-46.6302071
02925-000;-23.5008851;-46.69974939999999;05736-000;-23.6424848;-46.74137279999999
03282-000;-23.5818823;-46.5522869;08270-000;-23.5681771;-46.46865589999999
08062-000;-23.5085486;-46.473481400000004;05449-000;-23.547218700000002;-46.705991600000004
02017-000;-23.5000629;-46.6302681;04444-000;-23.687969600000002;-46.69015039999999
03591-000;-23.550918600000003;-46.48036200000001;05086-000;-23.5256604;-46.7241432
02405-000;-23.488301800000002;-46.632922799999996;03066-000;-23.5377129;-46.5748489
08032-000;-23.5151618;-46.42423410000001;02288-000;-23.4365591;-46.572191100000005
08430-000;-23.5309546;-46.4236882;05386-000;-23.5665628;-46.757668
03361-000;-23.570956699999996;-46.5309696;03088-000;-23.5277432;-46.5611867
01426-000;-23.5647685;-46.66693490000001;08090-000;-23.4822801;-46.4313554
04401-000;-23.662454699999998;-46.6643689;04619-000;-23.620162399999998;-46.67944910000001
03050-000;-23.544412;-46.612906200000005;05068-000;-23.5149073;-46.7057114
04106-000;-23.5805454;-46.6339889;02998-000;-23.432907699999998;-46.7357609
03402-000;-23.542047600000004;-46.5489521;04203-000;-23.5839581;-46.6077091
03693-000;-23.532216100000003;-46.4785658;03385-000;-23.5835522;-46.52528820000001
08295-000;-23.547291199999997;-46.45012020000001;08280-000;-23.557155899999998;-46.466515799999996
05171-000;-23.477853500000002;-46.747953100000004;01036-000;-23.5421286;-46.64057649999999
04248-000;-23.613225600000003;-46.5947844;08070-000;-23.4959432;-46.45973529999999
03726-000;-23.5005901;-46.5133288;05469-000;-23.541036899999998;-46.719364899999995
02261-000;-23.4675021;-46.5761888;05634-000;-23.605718300000003;-46.7373273
04256-000;-23.6295049;-46.5908287;05469-000;-23.541036899999998;-46.719364899999995
04296-000;-23.618373899999998;-46.6055364;05055-000;-23.5336702;-46.7027253
05180-000;-23.458014499999997;-46.747135899999996;01425-000;-23.5725949;-46.6585203
08412-000;-23.5473247;-46.40927670000001;04552-000;-23.5940202;-46.686024100000004
03312-000;-23.5437272;-46.5614093;04538-000;-23.590326899999997;-46.6804869
03944-000;-23.6014749;-46.493300899999994;04445-000;-23.680063699999998;-46.6860906
04549-000;-23.6032927;-46.676712;02732-000;-23.4991122;-46.696217
04069-000;-23.6254052;-46.64534219999999;05128-000;-23.4912352;-46.7413989
04809-000;-23.7159508;-46.69755749999999;01226-000;-23.5398384;-46.6531041
08151-000;-23.5076249;-46.4044739;04547-000;-23.6015892;-46.67552979999999
03434-000;-23.5579449;-46.5327214;03734-000;-23.5075125;-46.5285616
02242-000;-23.4913156;-46.6087284;03461-000;-23.571331699999998;-46.525954
02120-000;-23.5126544;-46.5908734;04163-000;-23.6307908;-46.6144469
04846-000;-23.7570314;-46.67657;05445-000;-23.5519979;-46.6986396
03270-000;-23.6004604;-46.520452299999995;03126-000;-23.581913;-46.59102439999999
02976-000;-23.4810355;-46.71504669999999;04522-000;-23.6031192;-46.667516299999996
03912-000;-23.5815255;-46.522881;03504-000;-23.5361922;-46.53986159999999
05542-000;-23.5867992;-46.7503093;04313-000;-23.6395034;-46.6404461
05337-000;-23.5506872;-46.751465100000004;04142-000;-23.610857;-46.637623600000005
03475-000;-23.5709081;-46.5156265;03265-000;-23.5937875;-46.5426578
04363-000;-23.6482796;-46.669374;01229-000;-23.5398857;-46.6597367
05407-000;-23.5561471;-46.67921940000001;04304-000;-23.6268109;-46.6346073
04816-000;-23.7052401;-46.68550140000001;04661-000;-23.657746600000003;-46.6789846
05140-000;-23.4907962;-46.7254881;01047-000;-23.546236399999998;-46.64110789999999
02881-000;-23.466275;-46.6755374;03210-000;-23.5964344;-46.5556688
04248-000;-23.613225600000003;-46.5947844;01136-000;-23.5243335;-46.6595374
01238-000;-23.543557800000002;-46.6567873;04606-000;-23.6223312;-46.676758
04846-000;-23.7570314;-46.67657;04306-000;-23.6268109;-46.6346073
02311-000;-23.4676318;-46.6051677;08215-000;-23.5392118;-46.4466061
08270-000;-23.5681771;-46.46865589999999;04707-000;-23.624508600000002;-46.6942734
05518-000;-23.585972100000003;-46.7281866;04718-000;-23.6344127;-46.70099769999999
04725-000;-23.643779000000002;-46.705218200000004;03691-000;-23.536095;-46.481240899999996
04419-000;-23.6860254;-46.6402465;05025-000;-23.5364013;-46.689101799999996
04661-000;-23.657746600000003;-46.6789846;04558-000;-23.6073994;-46.6801617
03618-000;-23.517275899999998;-46.52123710000001;03333-000;-23.5552839;-46.5736133
03312-000;-23.5437272;-46.5614093;02975-000;-23.4784537;-46.7132029
02136-000;-23.498731600000003;-46.5826396;02186-000;-23.5139547;-46.5687675
04145-000;-23.6164129;-46.63158199999999;05108-000;-23.508490300000002;-46.761931
08020-000;-23.504361499999998;-46.44291;04321-000;-23.6420035;-46.6421748
08062-000;-23.5085486;-46.473481400000004;01231-000;-23.5393767;-46.6572466
03089-000;-23.5371166;-46.558232200000006;04362-000;-23.6422477;-46.66718
03733-000;-23.5116736;-46.52692649999999;04070-000;-23.6279423;-46.64620619999999
04904-000;-23.6702544;-46.735504399999996;04559-000;-23.6130293;-46.6799419
02615-000;-23.472797500000002;-46.65288779999999;08270-000;-23.5681771;-46.46865589999999
02512-000;-23.5130391;-46.6597146;05303-000;-23.528672699999998;-46.7297698
03978-000;-23.616174800000003;-46.502007;01415-000;-23.5534628;-46.65831379999999
01545-000;-23.578236999999998;-46.6216472;03511-000;-23.535183800000002;-46.526491799999995
04248-000;-23.613225600000003;-46.5947844;04709-000;-23.6333085;-46.6920369
04548-000;-23.602414000000003;-46.6761701;02402-000;-23.4981575;-46.62575589999999
08240-000;-23.526460999999998;-46.4455459;04328-000;-23.6631928;-46.63584119999999
05271-000;-23.4294505;-46.792615000000005;04256-000;-23.6295049;-46.5908287
03105-000;-23.555111;-46.623755100000004;03948-000;-23.5877171;-46.4928016
02238-000;-23.4737967;-46.57378079999999;08042-000;-23.508967000000002;-46.4389261
04785-000;-23.6923812;-46.7136195;02920-000;-23.4911086;-46.7177239
04401-000;-23.662454699999998;-46.6643689;04090-000;-23.6047974;-46.657255600000006
04363-000;-23.6482796;-46.669374;03322-000;-23.549224399999996;-46.56804279999999
02266-000;-23.477508899999997;-46.5984274;05577-000;-23.577614699999998;-46.7243724
03336-000;-23.5541189;-46.560647700000004;01529-000;-23.5675926;-46.6337305
04620-000;-23.6231479;-46.68256220000001;04079-000;-23.607373499999998;-46.6604214
04136-000;-23.6106845;-46.628035;01451-000;-23.5842928;-46.68200299999999
03981-000;-23.6123033;-46.5102874;04313-000;-23.6395034;-46.6404461
02227-000;-23.479626100000004;-46.5722508;05854-000;-23.661872;-46.7639005
02130-000;-23.507854100000003;-46.584836100000004;02110-000;-23.516588;-46.595227799999996
05542-000;-23.5867992;-46.7503093;03337-000;-23.556048899999997;-46.5626138
03655-000;-23.5252385;-46.514720700000005;04119-000;-23.592943899999998;-46.6351992
03620-000;-23.511072;-46.5084406;04303-000;-23.6245182;-46.6373947
